FECHA;HORA;DIRECCION;LATITUD;LONGITUD
2025-08-22;22:30:00;AC 17 88 02;4.66171482;-74.13794957
2025-08-23;22:20:00;CL 138 158 B 02;4.74439135;-74.12869557
2025-04-26;22:10:00;KR 116 81 02;4.72722756;-74.12263971
2025-05-06;11:25:00;AVENIDA PRIMERO DE MAYO 2 ESTE 02;4.56927098;-74.08621935
2025-05-06;17:30:00;AVENIDA BOYACA 8 02;4.63673376;-74.13703827
2025-05-25;12:24:00;CL 116 11 C 02;4.69536544;-74.03844872
2025-05-01;10:00:00;CL 42 A SUR 86 02;4.63044314;-74.16794715
2025-04-29;18:15:00;KR 30 10 02;4.61031264;-74.09498838
2025-04-29;18:22:00;KR 9 127 02;4.70340597;-74.03283265
2025-05-02;05:30:00;KR 68 6 02;4.62947268;-74.1224703
2025-05-05;15:33:00;CL 26 45 02;4.63647354;-74.09242062
2025-05-06;12:15:00;KR 15 A 121 02;4.70010616;-74.04380615
2025-05-06;15:21:00;CL 13 65 02;4.63440653;-74.11493865
2025-05-05;17:46:00;CL 13 119 02;4.68463466;-74.15783791
2025-12-05;11:40:00;KR 45 97 02;4.68493746;-74.05754183
2025-12-18;08:38:00;KR 22 12 02;4.60791285;-74.08821861
2025-12-18;09:22:00;KR 7 A ESTE 45 B SUR 02;4.54343841;-74.09141077
2025-09-06;06:30:00;KR 18 L 69 M SUR 02;4.55260952;-74.15173674
2025-09-01;14:50:00;DG 5 D BIS 43 B 02;4.62005038;-74.10968981
2025-09-19;06:20:00;KR 72 J 38 SUR 02;4.61190469;-74.14348406
2025-09-21;15:30:00;CL 84 SUR 14 J 02;4.51083672;-74.1197584
2025-09-21;05:30:00;CL 6 68 02;4.6290517;-74.12245737
2025-09-19;14:30:00;KR 13 ESTE 29 A SUR 02;4.56069085;-74.07938177
2025-09-22;18:17:00;CL 26 14 02;4.61549825;-74.0728554
2025-09-22;23:03:00;CL 20 43 02;4.62621907;-74.09990219
2025-09-27;11:30:00;CL 54 A SUR 25 02;4.57738961;-74.13897637
2025-09-28;16:50:00;CL 1 4 A 02;4.58403848;-74.07991437
